timestamp,open,high,low,close,basevolume,usdtvolume,source_zip,datetime_utc
1767316140,4357.51,4359.41,4357.51,4359.41,0.25,1089.6285,20260102.zip,2026-01-02 01:09:00+00:00
1767316260,4359.41,4359.41,4357,4357,0.8,3485.6667,20260102.zip,2026-01-02 01:11:00+00:00
1767316320,4357,4357,4357,4357,0.07,304.99,20260102.zip,2026-01-02 01:12:00+00:00
1767316380,4357,4357.96,4356.67,4357.96,0.24,1045.757,20260102.zip,2026-01-02 01:13:00+00:00
1767316440,4357.96,4357.96,4355.5,4355.51,0.42,1829.313,20260102.zip,2026-01-02 01:14:00+00:00
1767316560,4355.51,4357.97,4355.51,4357.91,0.17,740.6058,20260102.zip,2026-01-02 01:16:00+00:00
1767316620,4357.91,4357.91,4355.91,4355.91,0.05,217.7955,20260102.zip,2026-01-02 01:17:00+00:00
1767316680,4355.91,4355.91,4355.91,4355.91,0.01,43.5591,20260102.zip,2026-01-02 01:18:00+00:00
1767316740,4355.91,4355.91,4355.91,4355.91,0.04,174.2364,20260102.zip,2026-01-02 01:19:00+00:00
1767316860,4355.91,4355.91,4355.5,4355.5,0.94,4094.183,20260102.zip,2026-01-02 01:21:00+00:00
1767317040,4355.5,4358.48,4355.5,4358.48,0.02,87.1696,20260102.zip,2026-01-02 01:24:00+00:00
1767317100,4358.48,4359.01,4358.14,4359.01,0.39,1699.6859,20260102.zip,2026-01-02 01:25:00+00:00
1767317340,4359.01,4359.44,4359.01,4359.44,0.13,566.7246,20260102.zip,2026-01-02 01:29:00+00:00
1767317400,4359.44,4359.44,4357.08,4359.44,0.67,2920.7068,20260102.zip,2026-01-02 01:30:00+00:00
1767317460,4359.44,4359.44,4359.41,4359.41,0.05,217.9705,20260102.zip,2026-01-02 01:31:00+00:00
1767317520,4359.41,4359.41,4356.8,4356.8,0.02,87.136,20260102.zip,2026-01-02 01:32:00+00:00
1767317580,4356.8,4358.09,4355.84,4358.09,0.32,1394.2498,20260102.zip,2026-01-02 01:33:00+00:00
