venue,product_type,symbol,hour_utc,bars,close,total_usdt_volume,total_base_volume,total_quote_volume
futures,USDT-FUTURES,XAUUSDT,2025-12-31 18:00:00+00:00,60,4330.39,93830.1838,21.66,93830.1838
futures,USDT-FUTURES,XAUUSDT,2025-12-31 19:00:00+00:00,59,4322.6,95215.7828,22.03,95215.7828
futures,USDT-FUTURES,XAUUSDT,2025-12-31 20:00:00+00:00,60,4324.62,43656.479699999996,10.1,43656.479699999996
futures,USDT-FUTURES,XAUUSDT,2025-12-31 21:00:00+00:00,60,4328.05,28814.6445,6.66,28814.6445
futures,USDT-FUTURES,XAUUSDT,2025-12-31 22:00:00+00:00,59,4330.0,21994.667,5.08,21994.667
futures,USDT-FUTURES,XAUUSDT,2025-12-31 23:00:00+00:00,60,4327.39,19203.2531,4.4399999999999995,19203.2531
futures,USDT-FUTURES,XAUUSDT,2026-01-01 00:00:00+00:00,60,4334.18,25698.0331,5.93,25698.0331
futures,USDT-FUTURES,XAUUSDT,2026-01-01 01:00:00+00:00,60,4330.28,13853.4156,3.2,13853.4156
futures,USDT-FUTURES,XAUUSDT,2026-01-01 02:00:00+00:00,59,4327.06,28389.1047,6.56,28389.1047
futures,USDT-FUTURES,XAUUSDT,2026-01-01 03:00:00+00:00,60,4326.55,12116.527,2.8,12116.527
futures,USDT-FUTURES,XAUUSDT,2026-01-01 04:00:00+00:00,60,4333.25,27417.4497,6.33,27417.4497
futures,USDT-FUTURES,XAUUSDT,2026-01-01 05:00:00+00:00,59,4334.26,17376.212900000002,4.01,17376.212900000002
futures,USDT-FUTURES,XAUUSDT,2026-01-01 06:00:00+00:00,60,4332.37,21942.1269,5.0600000000000005,21942.1269
futures,USDT-FUTURES,XAUUSDT,2026-01-01 07:00:00+00:00,60,4325.27,58805.6298,13.59,58805.6298
futures,USDT-FUTURES,XAUUSDT,2026-01-01 08:00:00+00:00,59,4332.45,23558.6771,5.44,23558.6771
futures,USDT-FUTURES,XAUUSDT,2026-01-01 09:00:00+00:00,60,4328.42,36704.5987,8.47,36704.5987
futures,USDT-FUTURES,XAUUSDT,2026-01-01 10:00:00+00:00,60,4332.97,31293.5242,7.22,31293.5242
futures,USDT-FUTURES,XAUUSDT,2026-01-01 11:00:00+00:00,60,4325.66,65427.598900000005,15.1,65427.598900000005
futures,USDT-FUTURES,XAUUSDT,2026-01-01 12:00:00+00:00,59,4329.51,25682.8334,5.93,25682.8334
futures,USDT-FUTURES,XAUUSDT,2026-01-01 13:00:00+00:00,60,4330.1,9056.3533,2.09,9056.3533
futures,USDT-FUTURES,XAUUSDT,2026-01-01 14:00:00+00:00,60,4327.84,51317.7287,11.84,51317.7287
futures,USDT-FUTURES,XAUUSDT,2026-01-01 15:00:00+00:00,59,4333.1,50107.5321,11.56,50107.5321
futures,USDT-FUTURES,XAUUSDT,2026-01-01 16:00:00+00:00,60,4335.26,43390.7875,10.01,43390.7875
futures,USDT-FUTURES,XAUUSDT,2026-01-01 17:00:00+00:00,60,4330.08,28946.1698,6.68,28946.1698
futures,USDT-FUTURES,XAUUSDT,2026-01-01 18:00:00+00:00,59,4332.62,19093.4257,4.41,19093.4257
futures,USDT-FUTURES,XAUUSDT,2026-01-01 19:00:00+00:00,60,4329.09,15803.6509,3.65,15803.6509
futures,USDT-FUTURES,XAUUSDT,2026-01-01 20:00:00+00:00,60,4330.86,20666.769099999998,4.77,20666.769099999998
futures,USDT-FUTURES,XAUUSDT,2026-01-01 21:00:00+00:00,60,4330.45,23597.7801,5.45,23597.7801
futures,USDT-FUTURES,XAUUSDT,2026-01-01 22:00:00+00:00,59,4327.18,77743.4808,17.95,77743.4808
futures,USDT-FUTURES,XAUUSDT,2026-01-01 23:00:00+00:00,60,4354.75,105339.48879999999,24.25,105339.48879999999
futures,USDT-FUTURES,XAUUSDT,2026-01-02 00:00:00+00:00,60,4362.17,136071.0625,31.25,136071.0625
futures,USDT-FUTURES,XAUUSDT,2026-01-02 01:00:00+00:00,59,4354.64,104118.8563,23.9,104118.8563
futures,USDT-FUTURES,XAUUSDT,2026-01-02 02:00:00+00:00,60,4366.29,199075.6581,45.68,199075.6581
futures,USDT-FUTURES,XAUUSDT,2026-01-02 03:00:00+00:00,60,4376.03,406527.5191,93.04,406527.5191
futures,USDT-FUTURES,XAUUSDT,2026-01-02 04:00:00+00:00,59,4372.87,65250.324,14.91,65250.324
futures,USDT-FUTURES,XAUUSDT,2026-01-02 05:00:00+00:00,60,4378.71,136707.4577,31.23,136707.4577
futures,USDT-FUTURES,XAUUSDT,2026-01-02 06:00:00+00:00,60,4378.99,67461.5962,15.41,67461.5962
futures,USDT-FUTURES,XAUUSDT,2026-01-02 07:00:00+00:00,60,4380.98,189461.306,43.31,189461.306
futures,USDT-FUTURES,XAUUSDT,2026-01-02 08:00:00+00:00,59,4389.12,222269.9898,50.65,222269.9898
futures,USDT-FUTURES,XAUUSDT,2026-01-02 09:00:00+00:00,60,4389.0,117340.8238,26.72,117340.8238
futures,USDT-FUTURES,XAUUSDT,2026-01-02 10:00:00+00:00,60,4397.04,110261.6131,25.12,110261.6131
futures,USDT-FUTURES,XAUUSDT,2026-01-02 11:00:00+00:00,59,4391.65,340711.601,77.53999999999999,340711.601
futures,USDT-FUTURES,XAUUSDT,2026-01-02 12:00:00+00:00,60,4396.37,120980.2447,27.53,120980.2447
futures,USDT-FUTURES,XAUUSDT,2026-01-02 13:00:00+00:00,60,4364.41,279223.628,63.74,279223.628
futures,USDT-FUTURES,XAUUSDT,2026-01-02 14:00:00+00:00,59,4363.98,217366.9995,49.74,217366.9995
futures,USDT-FUTURES,XAUUSDT,2026-01-02 15:00:00+00:00,60,4339.72,472179.5212,108.58,472179.5212
futures,USDT-FUTURES,XAUUSDT,2026-01-02 16:00:00+00:00,60,4332.83,421086.366,97.32,421086.366
futures,USDT-FUTURES,XAUUSDT,2026-01-02 17:00:00+00:00,60,4331.14,108983.1879,25.14,108983.1879
futures,USDT-FUTURES,XAUUSDT,2026-01-02 18:00:00+00:00,59,4325.09,171381.2648,39.620000000000005,171381.2648
futures,USDT-FUTURES,XAUUSDT,2026-01-02 19:00:00+00:00,60,4328.12,70356.9715,16.25,70356.9715
futures,USDT-FUTURES,XAUUSDT,2026-01-02 20:00:00+00:00,60,4333.2,76572.7101,17.67,76572.7101
futures,USDT-FUTURES,XAUUSDT,2026-01-02 21:00:00+00:00,59,4333.5,33331.7126,7.69,33331.7126
futures,USDT-FUTURES,XAUUSDT,2026-01-02 22:00:00+00:00,60,4336.3,48029.7589,11.07,48029.7589
futures,USDT-FUTURES,XAUUSDT,2026-01-02 23:00:00+00:00,60,4340.2,33630.9447,7.75,33630.9447
futures,USDT-FUTURES,XAUUSDT,2026-01-03 00:00:00+00:00,59,4332.81,33174.5258,7.65,33174.5258
futures,USDT-FUTURES,XAUUSDT,2026-01-03 01:00:00+00:00,60,4333.04,10615.6577,2.4499999999999997,10615.6577
futures,USDT-FUTURES,XAUUSDT,2026-01-03 02:00:00+00:00,60,4336.71,15525.6493,3.5799999999999996,15525.6493
futures,USDT-FUTURES,XAUUSDT,2026-01-03 03:00:00+00:00,60,4338.6,13910.4246,3.21,13910.4246
