,timestamp,open,high,low,close,datetime
6615,1772088960000000000,89.13,89.13,89.08,89.13,2026-02-26T06:56:00.000000Z
6616,1772089020000000000,89.13,89.15,89.01,89.04,2026-02-26T06:57:00.000000Z
6617,1772089080000000000,89.04,89.1,89.04,89.05,2026-02-26T06:58:00.000000Z
6618,1772089140000000000,89.05,89.15,89.04,89.15,2026-02-26T06:59:00.000000Z
6619,1772089200000000000,89.15,89.29,89.15,89.25,2026-02-26T07:00:00.000000Z
6620,1772089260000000000,89.25,89.25,89.18,89.19,2026-02-26T07:01:00.000000Z
6621,1772089320000000000,89.19,89.19,88.78,88.78,2026-02-26T07:02:00.000000Z
6622,1772089380000000000,88.78,88.85,88.53,88.53,2026-02-26T07:03:00.000000Z
6623,1772089440000000000,88.53,88.75,88.36,88.68,2026-02-26T07:04:00.000000Z
6624,1772089500000000000,88.68,88.7,88.58,88.63,2026-02-26T07:05:00.000000Z
6625,1772089560000000000,88.63,88.66,88.58,88.64,2026-02-26T07:06:00.000000Z
6626,1772089620000000000,88.64,88.7,88.57,88.58,2026-02-26T07:07:00.000000Z
6627,1772089680000000000,88.58,88.62,88.4,88.4,2026-02-26T07:08:00.000000Z
6628,1772089740000000000,88.4,88.43,88.24,88.35,2026-02-26T07:09:00.000000Z
6629,1772089800000000000,88.35,88.5,88.33,88.5,2026-02-26T07:10:00.000000Z
6630,1772089860000000000,88.5,88.66,88.5,88.61,2026-02-26T07:11:00.000000Z
6631,1772089920000000000,88.61,88.61,88.51,88.53,2026-02-26T07:12:00.000000Z
6632,1772089980000000000,88.53,88.54,88.39,88.44,2026-02-26T07:13:00.000000Z
6633,1772090040000000000,88.44,88.57,88.44,88.57,2026-02-26T07:14:00.000000Z
6634,1772090100000000000,88.57,88.65,88.57,88.63,2026-02-26T07:15:00.000000Z
6635,1772090160000000000,88.63,88.72,88.55,88.7,2026-02-26T07:16:00.000000Z
6636,1772090220000000000,88.7,88.85,88.7,88.8,2026-02-26T07:17:00.000000Z
6637,1772090280000000000,88.8,88.83,88.72,88.74,2026-02-26T07:18:00.000000Z
6638,1772090340000000000,88.74,88.8,88.73,88.73,2026-02-26T07:19:00.000000Z
6639,1772090400000000000,88.73,88.73,88.64,88.68,2026-02-26T07:20:00.000000Z
6640,1772090460000000000,88.68,88.76,88.68,88.76,2026-02-26T07:21:00.000000Z
6641,1772090520000000000,88.76,88.76,88.7,88.73,2026-02-26T07:22:00.000000Z
6642,1772090580000000000,88.73,88.75,88.35,88.48,2026-02-26T07:23:00.000000Z
6643,1772090640000000000,88.48,88.5,88.26,88.27,2026-02-26T07:24:00.000000Z
6644,1772090700000000000,88.27,88.4,88.27,88.39,2026-02-26T07:25:00.000000Z
6645,1772090760000000000,88.39,88.48,88.36,88.48,2026-02-26T07:26:00.000000Z
6646,1772090820000000000,88.48,88.5,88.41,88.48,2026-02-26T07:27:00.000000Z
6647,1772090880000000000,88.48,88.5,88.44,88.45,2026-02-26T07:28:00.000000Z
6648,1772090940000000000,88.45,88.49,88.39,88.4,2026-02-26T07:29:00.000000Z
6649,1772091000000000000,88.4,88.43,88.35,88.41,2026-02-26T07:30:00.000000Z
6650,1772091060000000000,88.41,88.55,88.35,88.52,2026-02-26T07:31:00.000000Z
6651,1772091120000000000,88.52,88.55,88.47,88.5,2026-02-26T07:32:00.000000Z
6652,1772091180000000000,88.5,88.56,88.5,88.51,2026-02-26T07:33:00.000000Z
6653,1772091240000000000,88.51,88.52,88.33,88.43,2026-02-26T07:34:00.000000Z
6654,1772091300000000000,88.43,88.43,88.2,88.29,2026-02-26T07:35:00.000000Z
6655,1772091360000000000,88.29,88.37,88.29,88.37,2026-02-26T07:36:00.000000Z
6656,1772091420000000000,88.37,88.43,88.36,88.38,2026-02-26T07:37:00.000000Z
6657,1772091480000000000,88.38,88.5,88.38,88.48,2026-02-26T07:38:00.000000Z
6658,1772091540000000000,88.48,88.53,88.38,88.51,2026-02-26T07:39:00.000000Z
6659,1772091600000000000,88.51,88.63,88.51,88.63,2026-02-26T07:40:00.000000Z
6660,1772091660000000000,88.63,88.67,88.59,88.65,2026-02-26T07:41:00.000000Z
6661,1772091720000000000,88.65,88.71,88.59,88.61,2026-02-26T07:42:00.000000Z
6662,1772091780000000000,88.61,88.63,88.48,88.48,2026-02-26T07:43:00.000000Z
6663,1772091840000000000,88.48,88.5,88.43,88.45,2026-02-26T07:44:00.000000Z
